001	Bulbasaur	AD86124F 2823D8DA
002	Ivysaur	AB84463B B2609644
003	Venusaur	3542F0A7 7D2E171F
004	Charmander	DB8C60CD 81FD6AA7
005	Charmeleon	08506D61 55CBD9A8
006	Charizard	A56395D2 8AF46857
007	Squirtle	BCDCB406 2F2FD763
008	Wartortle	268349C8 63FF53CE
009	Blastoise	5FD24ABC 1FE3296A
010	Caterpie	358CC2BF 9BFA3518
011	Metapod	DC725D4E 3A20792F
012	Butterfree	33EFFB7C E1794F5B
013	Weedle	9A86D92A 635F8DBC
014	Kakuna	CCEC9F6E 5A2A0F12
015	Beedrill	F3D99280 49F4EEDC
016	Pidgey	139BBA32 2DC356C8
017	Pidgeotto	2F7B0F2F 257173EA
018	Pidgeot	13659B39 95BD80E5
019	Rattata	E5C49E22 47B157F2
020	Raticate	60C9DC15 1AD9B226
021	Spearow	2F5D7856 A5F7B4AE
022	Fearow	23689847 DA918B8D
023	Ekans	A5BA4CFA CA5D771C
024	Arbok	B75D69F0 7C3B3103
025	Pikachu	9D4A1BFF 05120D39
026	Raichu	CE7B779B AE493550
027	Sandshrew	7DFC4CBD 20BB83B6
028	Sandslash	CFC711B9 0585971F
029	Nidoran-F	B6450111 C65005BC
030	Nidorina	0BA329E0 CEB39484
031	Nidoqueen	C3B010F5 6DB0ED0E
032	Nidoran-M	A38262A2 825F8CF0
033	Nidorino	33D5E08A 037AB9C4
034	Nidoking	82E3DD4B EBFEF864
035	Clefairy	E8EAB84F 26C8AB6B
036	Clefable	D15755D8 AF5BE6F1
037	Vulpix	276AF592 A3A635CC
038	Ninetales	27B815E0 B8CCC2DA
039	Jigglypuff	B18AC7E0 E667A184
040	Wigglytuff	7CEDC4CF F95C5521
041	Zubat	47596727 51BB292A
042	Golbat	FF3A0DD1 DF54EB13
043	Oddish	EF723724 F31E5F64
044	Gloom	A386B043 9DEB5064
045	Vileplume	4A2748A4 F888F1C9
046	Paras	EAD30258 3988D84F
047	Parasect	74CFC9E9 82CD278E
048	Venonat	0CC56D24 C9F5A33A
049	Venomoth	DFDFFF0A 8919BB28
050	Diglett	BA7199EC 664F9418
051	Dugtrio	BCC0FB44 1A047D3C
052	Meowth	5F38FD3F 5D7412A3
053	Persian	0BEC25D3 787468AE
054	Psyduck	70CEC019 12F0A7B0
055	Golduck	32E8BC37 7712CF08
056	Mankey	DAAB0C35 55611812
057	Primeape	B82FBCB6 C954F4ED
058	Growlithe	CD7047AB 42D861F2
059	Arcanine	3099D33C 49E66A04
060	Poliwag	AF0908F3 650FE1BD
061	Poliwhirl	C29C3277 063E67E9
062	Poliwrath	8DC834CF BFECCA56
063	Abra	5738CFE5 515C61CF
064	Kadabra	67CA1286 0E3A5D83
065	Alakazam	C91954D9 68AAD246
066	Machop	8AD2C8BB EB3D7A39
067	Machoke	95EFD5EA DD857E98
068	Machamp	3BF5B7C4 061AAA45
069	Bellsprout	CF2E3B09 3B30426E
070	Weepinbell	0030C455 4F43BB12
071	Victreebel	1DF3B8CA DC70EC58
072	Tentacool	65C4E9C5 24CA1894
073	Tentacruel	51DDE51A 00DE2CE3
074	Geodude	399F7170 D519951E
075	Graveler	DDF655E3 9BDEE49C
076	Golem	103F567C 2F1A9043
077	Ponyta	877A6953 8F6209F2
078	Rapidash	195BAD3F C840CA28
079	Slowpoke	4CEC5478 ACBC593C
080	Slowbro	FE7C44DB 7672B1D8
081	Magnemite	3C17AEA9 5DC9D705
082	Magneton	B8BD13C5 E3E7D9B3
083	Farfetchd	9121060C 74B908E0
084	Doduo	920BE3C7 3E00359C
085	Dodrio	02258041 19ABFE29
086	Seel	8EC19A12 FD47B55F
087	Dewgong	E18D1069 1053E30C
088	Grimer	EB7F9C3F DB3192F5
089	Muk	729160A9 F8F73577
090	Shellder	92A2030E 24F19E86
091	Cloyster	FB078533 1A99C72A
092	Gastly	99B8A848 91759EFF
093	Haunter	7F14537B 6C00E975
094	Gengar	BA9A9758 4221EBF4
095	Onix	54D9A0DB 68FC768F
096	Drowzee	C5C4BBBB 55B1B77F
097	Hypno	F4BB6321 8E9265DB
098	Krabby	D83FACC2 7D31E557
099	Kingler	FF0F431F 400EF220
100	Voltorb	ABD2C0C0 FBC68A93
101	Electrode	0C2333CD 141730A7
102	Exeggcute	8D2F9E72 8719250B
103	Exeggutor	744AF614 12D8281B
104	Cubone	D9E3884F 37500E3F
105	Marowak	CB4A8BD1 1D028DA2
106	Hitmonlee	9EDB950D 454533E5
107	Hitmonchan	3535FA3A EBECD355
108	Lickitung	F582757C 16122B78
109	Koffing	BF93F87F BC1AB791
110	Weezing	D966DA15 88BBB73A
111	Rhyhorn	7DA9C8C7 8549C3D4
112	Rhydon	9071D41E 55259C19
113	Chansey	AD38C4DB B5EBB8A7
114	Tangela	100D1518 466A2D06
115	Kangaskhan	8F4BE409 7110788B
116	Horsea	02401CFF F2742052
117	Seadra	B0160E28 ED6B68EC
118	Goldeen	29061002 69BB68FF
119	Seaking	676505B9 904C9DE3
120	Staryu	D7D9A00C 7BFB7AAC
121	Starmie	0E2752FA 51091446
122	Mr-Mime	0922D9A2 C1E680BA
123	Scyther	28BEFBB3 68DE4569
124	Jynx	FB0FC84E D45216CF
125	Electabuzz	1E6DE7CB DDDBAD78
126	Magmar	C644F8D1 4159A2D6
127	Pinsir	AEFBB853 03F4B721
128	Tauros	1D5557F2 FACC2BA7
129	Magikarp	04658924 E67574E2
130	Gyarados	56156F0A D2F071F2
131	Lapras	483AC796 E3850B8F
132	Ditto	3613AA25 2CC1B172
133	Eevee	4B78A144 F02E1187
134	Vaporeon	D82AEDF5 F23B27A4
135	Jolteon	1850F0B1 AAFB142F
136	Flareon	AB622741 B3F84F8B
137	Porygon	6EE60CB5 746DFF03
138	Omanyte	1DBD6215 4FD65295
139	Omastar	23F20EC6 1368F543
140	Kabuto	32A2B3E0 40DB80D9
141	Kabutops	2058318E 392B7EE5
142	Aerodactyl	C44B6463 DB3237C3
143	Snorlax	E9ADF485 15BE8FA7
144	Articuno	D7B594AF C1DA18AB
145	Zapdos	83E25054 9C927E5E
146	Moltres	F8DEC3CC A014B094
147	Dratini	47C69D5D 1AA59D6D
148	Dragonair	8B3A1FF0 A3C0E786
149	Dragonite	796E6824 2B208DD5
150	Mewtwo	4C77BA3F CA4EDCB6
151	Mew	B751BDF4 95CEF4CC
152	Chikorita	539C7E13 DD795F72
153	Bayleef	39D823E3 9EB6C9AA
154	Meganium	A2F7F837 7F974DEB
155	Cyndaquil	E4995046 3D00BF91
156	Quilava	B9CCC7BB D4C29E22
157	Typhlosion	B5592578 FBB9A4ED
158	Totodile	6699EF70 D7B03D43
159	Croconaw	33C5C90B D46AD9DC
160	Feraligatr	E1F0FEFA D0036CD4
161	Sentret	6C2D5D5E 008A751F
162	Furret	2B34A3C7 A829209F
163	Hoothoot	B33DAC5B 29EB7EB5
164	Noctowl	8E0B9473 A4AE2B53
165	Ledyba	5F2FD32D 941693B4
166	Ledian	1CD7078F A7384A34
167	Spinarak	BF975E40 430B4806
168	Ariados	F3D55605 74AE5C52
169	Crobat	56FC2792 3AEFE3F9
170	Chinchou	D70D1018 A021245F
171	Lanturn	2D2CC458 21BDD10C
172	Pichu	90AECEE5 A888F8AE
173	Cleffa	08C2447D 2096B6AE
174	Igglybuff	D7F35EE0 D224ECDE
175	Togepi	82269FC8 9579FD5A
176	Togetic	E3581C9B AE652F9A
177	Natu	B635603F B1E81481
178	Xatu	459823AE 3F1683A4
179	Mareep	0783E965 C5165BF8
180	Flaaffy	F510A285 5288E291
181	Ampharos	3CE54322 74A86618
182	Bellossom	F0088391 0C65D5E3
183	Marill	51EB125F EAA0FCBE
184	Azumarill	E832EF37 64D0E6A2
185	Sudowoodo	DDA1AC43 4A067FAE
186	Politoed	5C6CD179 E18C31EF
187	Hoppip	B1BC8307 69EF9C2C
188	Skiploom	E32EA0FE CB37FF3B
189	Jumpluff	C03FCFEF 84CB37BA
190	Aipom	A45DFE4F F27A9D8D
191	Sunkern	165C689B AF94A177
192	Sunflora	36838BE7 E5367C3A
193	Yanma	E500846E 9A4FF5C7
194	Wooper	6F071CA9 63FF4902
195	Quagsire	67375392 E7F55C24
196	Espeon	EF8A105C 72CEF63E
197	Umbreon	EF708FD1 C5E8B000
198	Murkrow	98F8C8F7 EEA657B9
199	Slowking	43D2617C C2F14DFB
200	Misdreavus	2E5E5AEB 22EBF9FF
201	Unown	10998FB0 656B5C99
202	Wobbuffet	EC4EB940 2C63CA65
203	Girafarig	41377A90 E36247DE
204	Pineco	43C3A9BF 477AF067
205	Forretress	55815067 03B03952
206	Dunsparce	4F8D48EA 9336834B
207	Gligar	729F34AB 5B1018D0
208	Steelix	1FE62E14 130CD2F8
209	Snubbull	77C7197D 502B8B56
210	Granbull	CF223304 929E964E
211	Qwilfish	C9551136 F45B0236
212	Scizor	F8D4BFAE D2C136F5
213	Shuckle	A94D8CB8 560257D4
214	Heracross	779D6EBF 3139EFF6
215	Sneasel	C21BA23A 95AB64BD
216	Teddiursa	EDEB2FF0 88466B79
217	Ursaring	2607FA8F 4BF940FA
218	Slugma	E2899947 9269834F
219	Magcargo	A58E1198 6E004BAD
220	Swinub	F949DADD BBC8B5CD
221	Piloswine	AA68D49C B33C8972
222	Corsola	DDEFF53A EC57A23F
223	Remoraid	A67D580A B44A4DF4
224	Octillery	78BA5E9D BA836EEB
225	Delibird	BC1FE4EC 9F1818A1
226	Mantine	3AF8DB31 042E9DF9
227	Skarmory	92DE3CD4 65C14106
228	Houndour	CABF0A0B B0E620D3
229	Houndoom	D8D99C49 B49D47DC
230	Kingdra	2B185541 DB13ACF6
231	Phanpy	CBCB02D6 C41FE3F4
232	Donphan	B8A6C516 12ECADE5
233	Porygon2	04EA10C3 8DB0146F
234	Stantler	9C0B5F02 A2857BBC
235	Smeargle	49D7E467 103D0D48
236	Tyrogue	3D2030E2 B2A0CACE
237	Hitmontop	A357C435 8BC380D1
238	Smoochum	8C287F7F E3950A6E
239	Elekid	A78E8FFA EDB5DA5C
240	Magby	D77AEB51 E63292DB
241	Miltank	1A55F1D1 2FCDADEA
242	Blissey	01EA07BF 793C86F2
243	Raikou	43FF33D1 F368CDE6
244	Entei	0C8037A6 BE1D9DB2
245	Suicune	80755BDB E392B806
246	Larvitar	2C8E4296 84D8D6E3
247	Pupitar	8418E051 5C53CE38
248	Tyranitar	32D66B09 40354103
249	Lugia	545C676A 51FFDC1C
250	Ho-Oh	437065EF 67DF37EF
251	Celebi	4AEC27E8 A5FF1540
